,Date,btc,eth,bnc
532,2019-01-08,4030.8479,150.359634,6.640054
533,2019-01-09,4035.296387,150.803116,6.64155
534,2019-01-10,3678.924561,128.625183,5.915919
535,2019-01-11,3687.365479,127.548325,6.075342
536,2019-01-12,3661.301025,125.96653,5.976965
537,2019-01-13,3552.953125,116.897804,5.568757
538,2019-01-14,3706.052246,129.068726,6.159282
539,2019-01-15,3630.675293,122.032715,5.919048
540,2019-01-16,3655.006836,123.547066,6.186014
541,2019-01-17,3678.563965,123.74192,6.417832
542,2019-01-18,3657.839355,121.010262,6.56304
543,2019-01-19,3728.568359,124.51902,6.635449
544,2019-01-20,3601.013672,119.474831,6.493869
545,2019-01-21,3576.032471,117.157852,6.553025
546,2019-01-22,3604.577148,118.747551,6.523199
547,2019-01-23,3585.123047,117.452606,6.541402
548,2019-01-24,3600.865479,117.362885,6.505792
549,2019-01-25,3599.765869,116.378342,6.737325
550,2019-01-26,3602.460449,116.488739,7.006565
551,2019-01-27,3583.96582,113.405289,7.088199
552,2019-01-28,3470.450439,106.589973,6.206182
553,2019-01-29,3448.116943,105.598213,6.18167
554,2019-01-30,3486.181641,108.907539,6.174529
555,2019-01-31,3457.792725,107.061012,6.268436
556,2019-02-01,3487.945313,107.609787,6.562617
